Test name,Test description,Relevant POP ID(s),Relevant POP alias(es),Notes
TEST CONDITION 1,Routine status checks do not trigger notifications.,"1,6","Mo, Taz",There are no violation events for these person records.
TEST CONDITION 2,Tamper events trigger notifications.,2,Cy,A tamper event is raised and is never cancelled.
TEST CONDITION 3,Tamper events trigger notifications if not cancelled within a given threshold.,3,Dan,"We define the threshold arbitrarily here at 2 minutes. A tamper event is raised, and only cancelled 3m later."
TEST CONDITION 4,Tamper events do not trigger notifications if cancelled before the threshold is crossed.,4,Raj,A tamper event is detected but is cancelled 1m later.
COMPLEX TEST 1,Test conditions 2 & 4,5,Ew,"Record 5 (""Ew"") triggers three separate tamper events, only two of which are cancelled."
TEST CONDITION 5,Curfew absence events trigger notifications if not cancelled.,7,Jay,
TEST CONDITION 6,Curfew absence events trigger notifications if not cancelled within the threshold time.,8,Lee,"We arbitrarlly set the threshold time as 10 minutes. Here, the cancelling event arrives only after 12 minutes."
TEST CONDITION 7,Curfew absence events do not trigger notifications if cancelled within the threshold time.,"9,10","Dave, Ami",Note the variety of event_names related to curfew absence events and their cancellation.
TEST CONDITION 8,Exclusion violation events trigger notifications if not cancelled.,12,B,
TEST CONDITION 9,Exclusion zone violations trigger notifications if not cancelled within the threshold time.,13,AJ,We arbitrarlly set this threshold time at 5 minutes. The cancelling event arrives only after 7 minutes.
TEST CONDITION 10,Exclusion violation events do not trigger notifications if cancelled within the threshold time.,"14,15","Tommy, J",Note the variety of event_names related to exclusion zone violation events and their cancellation.
COMPLEX TEST 2,Test conditions 2 & 5,16,Omz,"Both a tamper and a curfew violation occur, and are not cancelled."
COMPLEX TEST 3,Test conditions 2 & 8,17,Sam,"A tamper event and exclusion violation occur, and are not cancelled"
COMPLEX TEST 4,Test conditions 5 & 8,18,Haz,"A curfew violation and exclusion violation occur, and are not cancelled."
COMPLEX TEST 5,Test conditions 4 & 5,19,Issy,"A tamper event occurs during a curfew violation, but is cancelled within the threshold time"
COMPLEX TEST 6,Test conditions 4 & 8,20,Nat,"A tamper event occurs during an exclusion zone violation, but is cancelled within the threshold time"
COMPLEX TEST 7,Test conditions 5 & 10,11,Kay,"The offender is both absent from an inclusion zone and present in an exclusion zone, but the exclusion violation is cancelled within the threshold time."
TEST CONDITION 11,Low-battery alerts trigger notifications,21,Rich,A low-battery alert is raised and is never cancelled.
TEST CONDITION 12,Low-battery alerts trigger notifications if not cancelled within the threshold time. We define the threshold time here arbitrarily as **2 minutes**.,22,Sue,A low-battery alert is raised and only cancelled 10 minutes later.
TEST CONDITION 13,Low-battery alerts do not trigger notifications if cancelled within the threshold time.,23,Bill,A low-battery alert is raised but cancelled within 1 minute.
COMPLEX TEST 8,(Test conditions 7 & 13),24,Jim,"Alerts are raised both for absence from a curfew and low battery. However, the offender arrives home and begins charging his device immediately."
COMPLEX TEST 9,(Test conditions 9 & 11),25,Mike,"Alerts are raised for entry into an exclusion zone and for low battery. The offender quickly leaves the exclusion zone within the threshold time, but never addresses the low-battery issue."
